video_name,tag
v_BabyCrawling_g08_c01.avi,BabyCrawling
v_BabyCrawling_g08_c02.avi,BabyCrawling
v_BabyCrawling_g08_c03.avi,BabyCrawling
v_BabyCrawling_g08_c04.avi,BabyCrawling
v_BabyCrawling_g09_c01.avi,BabyCrawling
v_BabyCrawling_g09_c02.avi,BabyCrawling
v_BabyCrawling_g09_c03.avi,BabyCrawling
v_BabyCrawling_g09_c04.avi,BabyCrawling
v_BabyCrawling_g09_c05.avi,BabyCrawling
v_BabyCrawling_g09_c06.avi,BabyCrawling
v_BabyCrawling_g10_c01.avi,BabyCrawling
v_BabyCrawling_g10_c02.avi,BabyCrawling
v_BabyCrawling_g10_c03.avi,BabyCrawling
v_BabyCrawling_g10_c04.avi,BabyCrawling
v_BabyCrawling_g10_c05.avi,BabyCrawling
v_BabyCrawling_g11_c01.avi,BabyCrawling
v_BabyCrawling_g11_c02.avi,BabyCrawling
v_BabyCrawling_g11_c03.avi,BabyCrawling
v_BabyCrawling_g11_c04.avi,BabyCrawling
v_BabyCrawling_g12_c01.avi,BabyCrawling
v_BabyCrawling_g12_c02.avi,BabyCrawling
v_BabyCrawling_g12_c03.avi,BabyCrawling
v_BabyCrawling_g12_c04.avi,BabyCrawling
v_BabyCrawling_g12_c05.avi,BabyCrawling
v_BabyCrawling_g12_c06.avi,BabyCrawling
v_BabyCrawling_g13_c01.avi,BabyCrawling
v_BabyCrawling_g13_c02.avi,BabyCrawling
v_BabyCrawling_g13_c03.avi,BabyCrawling
v_BabyCrawling_g13_c04.avi,BabyCrawling
v_BabyCrawling_g13_c05.avi,BabyCrawling
v_BabyCrawling_g13_c06.avi,BabyCrawling
v_BabyCrawling_g14_c01.avi,BabyCrawling
v_BabyCrawling_g14_c02.avi,BabyCrawling
v_BabyCrawling_g14_c03.avi,BabyCrawling
v_BabyCrawling_g14_c04.avi,BabyCrawling
v_BabyCrawling_g15_c01.avi,BabyCrawling
v_BabyCrawling_g15_c02.avi,BabyCrawling
v_BabyCrawling_g15_c03.avi,BabyCrawling
v_BabyCrawling_g15_c04.avi,BabyCrawling
v_BabyCrawling_g15_c05.avi,BabyCrawling
v_BabyCrawling_g15_c06.avi,BabyCrawling
v_BabyCrawling_g16_c01.avi,BabyCrawling
v_BabyCrawling_g16_c02.avi,BabyCrawling
v_BabyCrawling_g16_c03.avi,BabyCrawling
v_BabyCrawling_g16_c04.avi,BabyCrawling
v_BabyCrawling_g16_c05.avi,BabyCrawling
v_BabyCrawling_g16_c06.avi,BabyCrawling
v_BabyCrawling_g17_c01.avi,BabyCrawling
v_BabyCrawling_g17_c02.avi,BabyCrawling
v_BabyCrawling_g17_c03.avi,BabyCrawling
v_BabyCrawling_g17_c04.avi,BabyCrawling
v_BabyCrawling_g17_c05.avi,BabyCrawling
v_BabyCrawling_g18_c01.avi,BabyCrawling
v_BabyCrawling_g18_c02.avi,BabyCrawling
v_BabyCrawling_g18_c03.avi,BabyCrawling
v_BabyCrawling_g18_c04.avi,BabyCrawling
v_BabyCrawling_g18_c05.avi,BabyCrawling
v_BabyCrawling_g18_c06.avi,BabyCrawling
v_BabyCrawling_g19_c01.avi,BabyCrawling
v_BabyCrawling_g19_c02.avi,BabyCrawling
v_BabyCrawling_g19_c03.avi,BabyCrawling
v_BabyCrawling_g19_c04.avi,BabyCrawling
v_BabyCrawling_g19_c05.avi,BabyCrawling
v_BabyCrawling_g20_c01.avi,BabyCrawling
v_BabyCrawling_g20_c02.avi,BabyCrawling
v_BabyCrawling_g20_c03.avi,BabyCrawling
v_BabyCrawling_g20_c04.avi,BabyCrawling
v_BabyCrawling_g20_c05.avi,BabyCrawling
v_BabyCrawling_g20_c06.avi,BabyCrawling
v_BabyCrawling_g20_c07.avi,BabyCrawling
v_BabyCrawling_g21_c01.avi,BabyCrawling
v_BabyCrawling_g21_c02.avi,BabyCrawling
v_BabyCrawling_g21_c03.avi,BabyCrawling
v_BabyCrawling_g21_c04.avi,BabyCrawling
v_BabyCrawling_g22_c01.avi,BabyCrawling
v_BabyCrawling_g22_c02.avi,BabyCrawling
v_BabyCrawling_g22_c03.avi,BabyCrawling
v_BabyCrawling_g22_c04.avi,BabyCrawling
v_BabyCrawling_g22_c05.avi,BabyCrawling
v_BabyCrawling_g22_c06.avi,BabyCrawling
v_BabyCrawling_g22_c07.avi,BabyCrawling
v_BabyCrawling_g23_c01.avi,BabyCrawling
v_BabyCrawling_g23_c02.avi,BabyCrawling
v_BabyCrawling_g23_c03.avi,BabyCrawling
v_BabyCrawling_g23_c04.avi,BabyCrawling
v_BabyCrawling_g24_c01.avi,BabyCrawling
v_BabyCrawling_g24_c02.avi,BabyCrawling
v_BabyCrawling_g24_c03.avi,BabyCrawling
v_BabyCrawling_g24_c04.avi,BabyCrawling
v_BabyCrawling_g24_c05.avi,BabyCrawling
v_BabyCrawling_g24_c06.avi,BabyCrawling
v_BabyCrawling_g25_c01.avi,BabyCrawling
v_BabyCrawling_g25_c02.avi,BabyCrawling
v_BabyCrawling_g25_c03.avi,BabyCrawling
v_BabyCrawling_g25_c04.avi,BabyCrawling
v_BabyCrawling_g25_c05.avi,BabyCrawling
v_BabyCrawling_g25_c06.avi,BabyCrawling
v_Punch_g08_c01.avi,Punch
v_Punch_g08_c02.avi,Punch
v_Punch_g08_c03.avi,Punch
v_Punch_g08_c04.avi,Punch
v_Punch_g08_c05.avi,Punch
v_Punch_g08_c06.avi,Punch
v_Punch_g08_c07.avi,Punch
v_Punch_g09_c01.avi,Punch
v_Punch_g09_c02.avi,Punch
v_Punch_g09_c03.avi,Punch
v_Punch_g09_c04.avi,Punch
v_Punch_g09_c05.avi,Punch
v_Punch_g09_c06.avi,Punch
v_Punch_g09_c07.avi,Punch
v_Punch_g10_c01.avi,Punch
v_Punch_g10_c02.avi,Punch
v_Punch_g10_c03.avi,Punch
v_Punch_g10_c04.avi,Punch
v_Punch_g10_c05.avi,Punch
v_Punch_g10_c06.avi,Punch
v_Punch_g11_c01.avi,Punch
v_Punch_g11_c02.avi,Punch
v_Punch_g11_c03.avi,Punch
v_Punch_g11_c04.avi,Punch
v_Punch_g11_c05.avi,Punch
v_Punch_g11_c06.avi,Punch
v_Punch_g11_c07.avi,Punch
v_Punch_g12_c01.avi,Punch
v_Punch_g12_c02.avi,Punch
v_Punch_g12_c03.avi,Punch
v_Punch_g12_c04.avi,Punch
v_Punch_g12_c05.avi,Punch
